profissao_atual,anos_experiencia,nivel_atual,objetivo_principal,area_interesse,tempo_disponivel_estudo,num_habilidades,habilidades_atuais,motivacao,score_adequacao
Analista de Sistemas,9,Sênior,Realocar Carreira,Inteligência Artificial,20,4,"Python,NLP,PyTorch,TensorFlow",7,100.0
Administrador de Redes,6,Pleno,Atualizar Carreira,DevOps,5,3,"Docker,Kubernetes,Git",6,97.56
Analista de Dados,1,Júnior,Atualizar Carreira,Cloud Computing,15,4,"AWS,GCP,Serverless,Azure",10,100.0
Desenvolvedor,4,Pleno,Atualizar Carreira,Desenvolvimento Web,15,3,"Python,CSS,HTML",8,100.0
QA Tester,9,Sênior,Atualizar Carreira,Segurança da Informação,15,3,"Criptografia,Firewall,SIEM",10,100.0
Desenvolvedor,20,Sênior,Realocar Carreira,Desenvolvimento Web,15,5,"CSS,JavaScript,Node.js,React,HTML",5,100.0
Analista de Dados,15,Sênior,Atualizar Carreira,Data Science,20,4,"Estatística,Python,NumPy,Pandas",10,100.0
Designer,11,Sênior,Realocar Carreira,Desenvolvimento Web,15,2,"JavaScript,React",6,100.0
QA Tester,19,Sênior,Realocar Carreira,Desenvolvimento Web,15,2,"Node.js,Python",8,100.0
QA Tester,0,Júnior,Atualizar Carreira,Segurança da Informação,20,5,"SIEM,Firewall,Pentest,Criptografia,OWASP",8,100.0
Analista de Sistemas,13,Sênior,Realocar Carreira,Data Science,20,2,"Python,SQL",6,100.0
Analista de Sistemas,20,Sênior,Atualizar Carreira,Desenvolvimento Web,5,2,"JavaScript,Python",5,96.3
Desenvolvedor,2,Júnior,Atualizar Carreira,Mobile,10,5,"Flutter,Swift,React Native,Kotlin,Android",9,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,Inteligência Artificial,15,2,"NLP,TensorFlow",8,100.0
QA Tester,8,Sênior,Realocar Carreira,Cloud Computing,30,4,"Containers,AWS,Azure,GCP",9,100.0
Designer,19,Sênior,Atualizar Carreira,Mobile,20,4,"Swift,React Native,Kotlin,Flutter",10,100.0
QA Tester,4,Pleno,Atualizar Carreira,Segurança da Informação,20,4,"SIEM,Criptografia,OWASP,Pentest",8,100.0
DBA,13,Sênior,Realocar Carreira,Data Science,25,3,"Python,Machine Learning,SQL",9,100.0
Gerente de Projetos,0,Júnior,Atualizar Carreira,Data Science,25,2,"R,Python",8,100.0
Analista de Dados,18,Sênior,Realocar Carreira,UX/UI Design,5,5,"Prototipagem,Sketch,Figma,Design Thinking,Adobe XD",5,100.0
Desenvolvedor,6,Pleno,Atualizar Carreira,Mobile,15,5,"Swift,Flutter,Android,Kotlin,iOS",9,100.0
Designer,10,Sênior,Realocar Carreira,DevOps,30,3,"Linux,AWS,CI/CD",5,100.0
Gerente de Projetos,20,Sênior,Realocar Carreira,Inteligência Artificial,20,4,"Python,PyTorch,Computer Vision,TensorFlow",8,100.0
DBA,3,Pleno,Realocar Carreira,Data Science,10,2,"Pandas,NumPy",5,91.59
Designer,0,Júnior,Atualizar Carreira,UX/UI Design,10,4,"Sketch,Figma,Design Thinking,Adobe XD",9,100.0
Designer,17,Sênior,Realocar Carreira,Desenvolvimento Web,20,3,"Node.js,React,CSS",5,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,DevOps,10,2,"Kubernetes,CI/CD",9,100.0
Designer,4,Pleno,Atualizar Carreira,Desenvolvimento Web,15,2,"CSS,React",8,100.0
Desenvolvedor,0,Júnior,Atualizar Carreira,Mobile,15,5,"React Native,Swift,Kotlin,Android,iOS",7,100.0
Designer,11,Sênior,Realocar Carreira,DevOps,15,5,"CI/CD,Docker,Linux,Kubernetes,Terraform",7,100.0
Gerente de Projetos,6,Pleno,Atualizar Carreira,Cloud Computing,15,3,"Serverless,AWS,GCP",7,100.0
Desenvolvedor,5,Pleno,Atualizar Carreira,Mobile,20,4,"Kotlin,Swift,Flutter,iOS",5,100.0
Desenvolvedor,9,Sênior,Realocar Carreira,Inteligência Artificial,5,3,"PyTorch,NLP,Python",7,92.64
Administrador de Redes,14,Sênior,Realocar Carreira,Inteligência Artificial,10,3,"TensorFlow,PyTorch,Python",7,100.0
QA Tester,17,Sênior,Realocar Carreira,UX/UI Design,15,3,"Sketch,Design Thinking,Figma",5,95.34
Analista de Sistemas,13,Sênior,Realocar Carreira,Data Science,20,2,"Estatística,Machine Learning",10,100.0
Desenvolvedor,10,Sênior,Realocar Carreira,Desenvolvimento Web,5,4,"HTML,Java,JavaScript,Python",6,100.0
Analista de Dados,14,Sênior,Realocar Carreira,Cloud Computing,5,3,"Serverless,AWS,GCP",5,92.8
Analista de Dados,4,Pleno,Realocar Carreira,Cloud Computing,5,3,"Azure,GCP,Containers",8,87.85
Analista de Sistemas,8,Sênior,Realocar Carreira,Cloud Computing,20,4,"Containers,Azure,GCP,Serverless",5,100.0
Gerente de Projetos,4,Pleno,Atualizar Carreira,Cloud Computing,10,4,"Serverless,GCP,AWS,Azure",5,100.0
DBA,10,Sênior,Atualizar Carreira,DevOps,5,4,"Docker,Git,CI/CD,Terraform",10,100.0
DBA,16,Sênior,Atualizar Carreira,Cloud Computing,25,4,"Containers,AWS,Azure,Serverless",9,100.0
QA Tester,3,Pleno,Realocar Carreira,Mobile,10,4,"Swift,iOS,Kotlin,Android",10,100.0
Suporte Técnico,10,Sênior,Realocar Carreira,DevOps,5,3,"CI/CD,Docker,Terraform",6,100.0
Desenvolvedor,2,Júnior,Atualizar Carreira,Mobile,10,5,"Kotlin,Android,iOS,Flutter,React Native",5,99.6
Gerente de Projetos,7,Sênior,Realocar Carreira,UX/UI Design,10,2,"Sketch,Figma",9,100.0
Suporte Técnico,13,Sênior,Realocar Carreira,Data Science,15,5,"Estatística,Machine Learning,R,Python,SQL",5,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,Data Science,15,5,"Python,R,Machine Learning,Estatística,Pandas",6,100.0
Suporte Técnico,0,Júnior,Atualizar Carreira,Segurança da Informação,20,3,"OWASP,Criptografia,Firewall",7,100.0
Suporte Técnico,0,Júnior,Realocar Carreira,Data Science,15,3,"NumPy,R,Machine Learning",9,97.72
Designer,7,Sênior,Realocar Carreira,Mobile,20,3,"Kotlin,React Native,Flutter",7,100.0
Suporte Técnico,4,Pleno,Realocar Carreira,Data Science,15,3,"Estatística,Python,Pandas",10,100.0
Suporte Técnico,7,Sênior,Atualizar Carreira,DevOps,25,5,"AWS,Terraform,CI/CD,Linux,Docker",5,100.0
DBA,18,Sênior,Atualizar Carreira,DevOps,15,3,"CI/CD,Docker,Linux",5,100.0
DBA,18,Sênior,Atualizar Carreira,DevOps,5,2,"CI/CD,Terraform",7,100.0
Administrador de Redes,19,Sênior,Atualizar Carreira,Cloud Computing,15,3,"Serverless,AWS,Containers",7,100.0
Gerente de Projetos,19,Sênior,Realocar Carreira,Desenvolvimento Web,15,4,"Java,HTML,Node.js,React",5,100.0
Desenvolvedor,6,Pleno,Atualizar Carreira,Desenvolvimento Web,15,3,"Java,CSS,Python",9,100.0
Desenvolvedor,18,Sênior,Realocar Carreira,Segurança da Informação,20,4,"Criptografia,Firewall,SIEM,Pentest",6,100.0
Gerente de Projetos,1,Júnior,Realocar Carreira,Data Science,15,4,"R,SQL,Estatística,Pandas",7,90.89
Analista de Sistemas,13,Sênior,Realocar Carreira,Cloud Computing,30,5,"Serverless,Containers,AWS,GCP,Azure",5,100.0
DBA,2,Júnior,Realocar Carreira,Cloud Computing,5,3,"Azure,Serverless,Containers",7,80.63
QA Tester,1,Júnior,Realocar Carreira,Segurança da Informação,20,3,"SIEM,OWASP,Pentest",9,100.0
Analista de Dados,13,Sênior,Atualizar Carreira,Cloud Computing,20,2,"Azure,Serverless",8,100.0
Designer,0,Júnior,Realocar Carreira,Data Science,20,4,"SQL,R,Estatística,Python",10,100.0
Analista de Sistemas,8,Sênior,Atualizar Carreira,Cloud Computing,25,3,"GCP,Azure,AWS",10,100.0
Analista de Sistemas,16,Sênior,Realocar Carreira,Segurança da Informação,20,3,"OWASP,Firewall,Criptografia",10,100.0
Suporte Técnico,10,Sênior,Realocar Carreira,UX/UI Design,10,4,"Figma,Design Thinking,Adobe XD,Sketch",9,100.0
Desenvolvedor,1,Júnior,Realocar Carreira,Segurança da Informação,20,4,"Criptografia,Pentest,Firewall,OWASP",7,100.0
DBA,5,Pleno,Realocar Carreira,UX/UI Design,20,4,"Sketch,Prototipagem,Design Thinking,Figma",9,100.0
Gerente de Projetos,1,Júnior,Atualizar Carreira,Data Science,5,4,"Python,NumPy,Machine Learning,SQL",8,89.75
Analista de Dados,16,Sênior,Atualizar Carreira,Inteligência Artificial,15,4,"PyTorch,TensorFlow,Python,NLP",8,100.0
Desenvolvedor,19,Sênior,Realocar Carreira,UX/UI Design,10,2,"Design Thinking,Sketch",5,99.77
Desenvolvedor,7,Sênior,Realocar Carreira,UX/UI Design,20,3,"Adobe XD,Prototipagem,Design Thinking",6,100.0
Analista de Sistemas,5,Pleno,Realocar Carreira,UX/UI Design,5,4,"Sketch,Adobe XD,Design Thinking,Prototipagem",5,100.0
DBA,16,Sênior,Atualizar Carreira,DevOps,20,4,"CI/CD,Linux,Git,Kubernetes",7,100.0
Designer,13,Sênior,Atualizar Carreira,Mobile,25,3,"React Native,Kotlin,iOS",8,100.0
QA Tester,6,Pleno,Realocar Carreira,Data Science,20,3,"Pandas,R,Python",7,100.0
Analista de Dados,11,Sênior,Realocar Carreira,Desenvolvimento Web,15,3,"JavaScript,Python,React",8,100.0
Analista de Dados,1,Júnior,Realocar Carreira,Data Science,5,4,"Pandas,Python,SQL,Machine Learning",10,100.0
Administrador de Redes,20,Sênior,Realocar Carreira,Mobile,30,3,"Android,Flutter,Kotlin",9,100.0
Desenvolvedor,0,Júnior,Realocar Carreira,Segurança da Informação,10,3,"Criptografia,Pentest,SIEM",5,89.21
Administrador de Redes,14,Sênior,Realocar Carreira,Desenvolvimento Web,20,5,"Python,Java,React,HTML,Node.js",8,100.0
Analista de Dados,5,Pleno,Atualizar Carreira,Inteligência Artificial,20,3,"NLP,PyTorch,Python",8,100.0
QA Tester,20,Sênior,Realocar Carreira,Data Science,5,2,"Estatística,Machine Learning",10,100.0
Designer,4,Pleno,Atualizar Carreira,Mobile,25,4,"Android,Swift,iOS,React Native",6,100.0
DBA,16,Sênior,Atualizar Carreira,DevOps,10,5,"CI/CD,Git,Kubernetes,Linux,Terraform",6,100.0
Administrador de Redes,10,Sênior,Realocar Carreira,DevOps,10,2,"Git,Terraform",5,94.79
Gerente de Projetos,14,Sênior,Realocar Carreira,UX/UI Design,5,3,"Sketch,Adobe XD,Figma",9,100.0
Desenvolvedor,12,Sênior,Realocar Carreira,UX/UI Design,15,2,"Figma,Design Thinking",6,100.0
Gerente de Projetos,0,Júnior,Realocar Carreira,Inteligência Artificial,20,2,"TensorFlow,NLP",7,97.04
Administrador de Redes,12,Sênior,Atualizar Carreira,Segurança da Informação,20,5,"Firewall,OWASP,Pentest,Criptografia,SIEM",5,100.0
Analista de Sistemas,6,Pleno,Atualizar Carreira,Data Science,20,5,"Machine Learning,Python,SQL,Pandas,Estatística",5,100.0
DBA,16,Sênior,Realocar Carreira,Mobile,5,2,"React Native,Kotlin",5,94.4
Designer,14,Sênior,Realocar Carreira,Mobile,10,5,"Android,iOS,React Native,Swift,Kotlin",10,100.0
Gerente de Projetos,16,Sênior,Realocar Carreira,Data Science,5,3,"NumPy,Python,SQL",8,100.0
Analista de Sistemas,1,Júnior,Atualizar Carreira,Desenvolvimento Web,10,2,"React,HTML",10,100.0
Gerente de Projetos,19,Sênior,Realocar Carreira,DevOps,30,5,"Kubernetes,Git,Docker,CI/CD,Terraform",8,100.0
Desenvolvedor,2,Júnior,Realocar Carreira,Segurança da Informação,10,2,"OWASP,SIEM",8,86.59
DBA,17,Sênior,Realocar Carreira,Desenvolvimento Web,25,2,"Node.js,HTML",9,100.0
Administrador de Redes,13,Sênior,Realocar Carreira,Cloud Computing,10,5,"GCP,Azure,AWS,Containers,Serverless",5,100.0
Designer,20,Sênior,Realocar Carreira,Inteligência Artificial,15,2,"PyTorch,TensorFlow",10,100.0
Administrador de Redes,5,Pleno,Atualizar Carreira,Cloud Computing,25,4,"Azure,Containers,AWS,Serverless",8,100.0
Gerente de Projetos,13,Sênior,Atualizar Carreira,DevOps,15,5,"Terraform,CI/CD,AWS,Git,Docker",5,100.0
Gerente de Projetos,19,Sênior,Realocar Carreira,Segurança da Informação,15,3,"Pentest,Firewall,Criptografia",6,100.0
Desenvolvedor,11,Sênior,Atualizar Carreira,Desenvolvimento Web,20,3,"Node.js,CSS,React",5,100.0
Suporte Técnico,17,Sênior,Realocar Carreira,DevOps,15,4,"CI/CD,Docker,Terraform,AWS",7,100.0
Analista de Sistemas,8,Sênior,Realocar Carreira,Cloud Computing,20,2,"Serverless,AWS",10,100.0
Analista de Dados,20,Sênior,Realocar Carreira,Mobile,15,3,"Flutter,iOS,React Native",7,100.0
QA Tester,9,Sênior,Atualizar Carreira,DevOps,15,4,"Terraform,CI/CD,AWS,Kubernetes",6,100.0
Suporte Técnico,3,Pleno,Realocar Carreira,Data Science,25,5,"Pandas,SQL,Estatística,NumPy,R",8,100.0
Analista de Sistemas,1,Júnior,Atualizar Carreira,Cloud Computing,10,4,"GCP,Serverless,AWS,Containers",7,100.0
Desenvolvedor,14,Sênior,Realocar Carreira,Inteligência Artificial,15,3,"Python,PyTorch,Computer Vision",6,100.0
Designer,4,Pleno,Realocar Carreira,Desenvolvimento Web,10,5,"JavaScript,Java,CSS,React,HTML",10,100.0
QA Tester,1,Júnior,Atualizar Carreira,Segurança da Informação,15,5,"OWASP,SIEM,Criptografia,Pentest,Firewall",7,100.0
QA Tester,9,Sênior,Realocar Carreira,Inteligência Artificial,15,3,"Computer Vision,PyTorch,Python",9,100.0
Administrador de Redes,0,Júnior,Realocar Carreira,Mobile,15,4,"Flutter,Swift,React Native,Kotlin",5,86.97
DBA,11,Sênior,Realocar Carreira,Cloud Computing,15,4,"AWS,GCP,Azure,Serverless",6,100.0
Analista de Dados,0,Júnior,Realocar Carreira,UX/UI Design,25,2,"Design Thinking,Adobe XD",8,100.0
Suporte Técnico,9,Sênior,Atualizar Carreira,Segurança da Informação,5,3,"Firewall,Criptografia,SIEM",7,100.0
Analista de Dados,19,Sênior,Realocar Carreira,UX/UI Design,10,3,"Figma,Prototipagem,Sketch",6,100.0
Desenvolvedor,20,Sênior,Atualizar Carreira,Desenvolvimento Web,15,2,"Node.js,React",6,100.0
Desenvolvedor,17,Sênior,Atualizar Carreira,DevOps,15,5,"Kubernetes,Git,AWS,Terraform,Linux",10,100.0
Designer,20,Sênior,Realocar Carreira,Segurança da Informação,20,3,"OWASP,Criptografia,Firewall",9,100.0
Suporte Técnico,8,Sênior,Atualizar Carreira,Cloud Computing,15,3,"AWS,Containers,Serverless",9,100.0
Analista de Dados,8,Sênior,Realocar Carreira,DevOps,15,3,"Linux,Kubernetes,Git",6,100.0
Desenvolvedor,0,Júnior,Realocar Carreira,DevOps,10,3,"Terraform,Docker,Linux",7,86.67
DBA,20,Sênior,Realocar Carreira,Segurança da Informação,25,2,"Criptografia,SIEM",9,100.0
Analista de Dados,10,Sênior,Atualizar Carreira,Inteligência Artificial,20,4,"TensorFlow,NLP,PyTorch,Python",9,100.0
Administrador de Redes,14,Sênior,Atualizar Carreira,Segurança da Informação,5,2,"Pentest,Firewall",10,100.0
QA Tester,19,Sênior,Realocar Carreira,Data Science,20,3,"SQL,Pandas,NumPy",10,100.0
Analista de Dados,10,Sênior,Atualizar Carreira,Inteligência Artificial,20,4,"PyTorch,NLP,Computer Vision,TensorFlow",8,100.0
DBA,0,Júnior,Realocar Carreira,Cloud Computing,30,4,"GCP,Serverless,AWS,Azure",5,100.0
DBA,14,Sênior,Realocar Carreira,UX/UI Design,25,5,"Design Thinking,Prototipagem,Sketch,Adobe XD,Figma",8,100.0
Administrador de Redes,6,Pleno,Realocar Carreira,Mobile,10,4,"iOS,Kotlin,React Native,Swift",8,100.0
Desenvolvedor,1,Júnior,Realocar Carreira,Desenvolvimento Web,10,2,"HTML,CSS",5,91.35
QA Tester,1,Júnior,Realocar Carreira,Data Science,15,3,"NumPy,R,Machine Learning",8,88.64
QA Tester,13,Sênior,Atualizar Carreira,Desenvolvimento Web,15,4,"CSS,JavaScript,HTML,Java",8,100.0
Administrador de Redes,5,Pleno,Atualizar Carreira,DevOps,15,3,"Terraform,Kubernetes,Docker",10,100.0
Analista de Sistemas,7,Sênior,Atualizar Carreira,Desenvolvimento Web,15,3,"JavaScript,HTML,Node.js",7,100.0
Gerente de Projetos,7,Sênior,Realocar Carreira,Mobile,30,2,"Swift,iOS",8,100.0
DBA,16,Sênior,Atualizar Carreira,Cloud Computing,10,5,"Containers,AWS,Azure,Serverless,GCP",8,100.0
Suporte Técnico,20,Sênior,Atualizar Carreira,Cloud Computing,20,5,"Serverless,GCP,Azure,Containers,AWS",6,100.0
Suporte Técnico,13,Sênior,Realocar Carreira,Data Science,15,2,"Pandas,NumPy",7,100.0
Analista de Sistemas,3,Pleno,Realocar Carreira,DevOps,20,4,"Docker,CI/CD,Kubernetes,Git",5,100.0
Gerente de Projetos,9,Sênior,Atualizar Carreira,Data Science,20,3,"Python,R,Estatística",10,100.0
Analista de Sistemas,1,Júnior,Realocar Carreira,Segurança da Informação,30,5,"Criptografia,Firewall,SIEM,Pentest,OWASP",9,100.0
Suporte Técnico,0,Júnior,Atualizar Carreira,DevOps,20,3,"Kubernetes,Docker,Git",10,100.0
Designer,7,Sênior,Realocar Carreira,Desenvolvimento Web,10,2,"Node.js,CSS",8,100.0
Gerente de Projetos,17,Sênior,Realocar Carreira,DevOps,20,5,"Linux,Kubernetes,AWS,Docker,Terraform",6,100.0
DBA,17,Sênior,Realocar Carreira,Cloud Computing,10,4,"Serverless,GCP,Azure,AWS",7,100.0
Desenvolvedor,6,Pleno,Realocar Carreira,Cloud Computing,10,2,"GCP,Azure",8,87.28
Suporte Técnico,4,Pleno,Realocar Carreira,Inteligência Artificial,10,4,"Python,Computer Vision,TensorFlow,NLP",9,100.0
Analista de Dados,4,Pleno,Realocar Carreira,DevOps,15,3,"Docker,Linux,Terraform",9,100.0
Designer,10,Sênior,Atualizar Carreira,Mobile,10,3,"React Native,Swift,Android",7,100.0
Suporte Técnico,8,Sênior,Atualizar Carreira,Cloud Computing,20,2,"GCP,Azure",5,100.0
DBA,17,Sênior,Realocar Carreira,DevOps,15,5,"Linux,Kubernetes,AWS,Git,Docker",9,100.0
Designer,18,Sênior,Atualizar Carreira,UX/UI Design,15,5,"Adobe XD,Sketch,Figma,Design Thinking,Prototipagem",7,100.0
DBA,2,Júnior,Realocar Carreira,Mobile,20,3,"Flutter,React Native,Android",7,100.0
Designer,18,Sênior,Realocar Carreira,Segurança da Informação,20,5,"Pentest,Firewall,Criptografia,SIEM,OWASP",8,100.0
Administrador de Redes,7,Sênior,Atualizar Carreira,Segurança da Informação,10,2,"Criptografia,Pentest",5,100.0
Designer,17,Sênior,Realocar Carreira,DevOps,30,3,"Docker,Terraform,CI/CD",5,100.0
Gerente de Projetos,17,Sênior,Realocar Carreira,Mobile,10,5,"Flutter,iOS,Android,Kotlin,React Native",6,99.79
Desenvolvedor,6,Pleno,Realocar Carreira,Cloud Computing,10,2,"AWS,GCP",10,100.0
Gerente de Projetos,10,Sênior,Atualizar Carreira,DevOps,25,2,"Git,CI/CD",8,100.0
QA Tester,17,Sênior,Realocar Carreira,Mobile,20,4,"Flutter,Kotlin,Swift,React Native",10,100.0
Administrador de Redes,6,Pleno,Atualizar Carreira,Segurança da Informação,10,3,"OWASP,Criptografia,SIEM",5,100.0
DBA,3,Pleno,Realocar Carreira,Inteligência Artificial,20,4,"PyTorch,NLP,Computer Vision,TensorFlow",10,100.0
Administrador de Redes,8,Sênior,Realocar Carreira,Segurança da Informação,20,3,"SIEM,Criptografia,OWASP",5,100.0
Designer,1,Júnior,Realocar Carreira,DevOps,20,4,"Linux,AWS,Kubernetes,Docker",9,100.0
Designer,2,Júnior,Atualizar Carreira,Desenvolvimento Web,20,2,"Java,JavaScript",8,100.0
Analista de Dados,16,Sênior,Atualizar Carreira,Data Science,20,5,"Python,SQL,Pandas,NumPy,Machine Learning",6,100.0
Desenvolvedor,18,Sênior,Atualizar Carreira,DevOps,5,2,"Git,CI/CD",8,100.0
Suporte Técnico,18,Sênior,Realocar Carreira,Desenvolvimento Web,15,3,"CSS,Node.js,Python",7,100.0
Desenvolvedor,0,Júnior,Atualizar Carreira,DevOps,10,3,"Kubernetes,Docker,AWS",6,100.0
Designer,15,Sênior,Realocar Carreira,UX/UI Design,30,4,"Design Thinking,Adobe XD,Figma,Sketch",10,100.0
QA Tester,12,Sênior,Atualizar Carreira,Desenvolvimento Web,25,3,"Java,CSS,HTML",5,100.0
Designer,20,Sênior,Atualizar Carreira,Desenvolvimento Web,5,4,"Node.js,Python,React,HTML",10,100.0
DBA,19,Sênior,Realocar Carreira,UX/UI Design,5,5,"Figma,Sketch,Design Thinking,Prototipagem,Adobe XD",7,100.0
DBA,13,Sênior,Atualizar Carreira,Cloud Computing,15,2,"Serverless,GCP",8,100.0
Gerente de Projetos,6,Pleno,Atualizar Carreira,Cloud Computing,20,4,"AWS,Azure,GCP,Containers",9,100.0
DBA,9,Sênior,Realocar Carreira,Desenvolvimento Web,15,2,"React,HTML",5,100.0
Administrador de Redes,11,Sênior,Realocar Carreira,Desenvolvimento Web,10,5,"React,Node.js,Python,JavaScript,HTML",5,100.0
DBA,16,Sênior,Realocar Carreira,Data Science,15,4,"Machine Learning,SQL,R,Estatística",10,100.0
Designer,20,Sênior,Atualizar Carreira,UX/UI Design,20,3,"Design Thinking,Adobe XD,Prototipagem",8,100.0
DBA,14,Sênior,Realocar Carreira,DevOps,15,5,"Git,Terraform,Kubernetes,Linux,AWS",8,100.0
Designer,7,Sênior,Atualizar Carreira,Desenvolvimento Web,10,2,"Python,Node.js",5,100.0
DBA,2,Júnior,Realocar Carreira,Data Science,15,3,"Pandas,Estatística,R",7,88.28
DBA,11,Sênior,Realocar Carreira,Mobile,20,2,"iOS,Flutter",10,100.0
Analista de Sistemas,7,Sênior,Realocar Carreira,Mobile,15,3,"React Native,Flutter,Kotlin",7,100.0
Designer,4,Pleno,Realocar Carreira,Segurança da Informação,30,4,"SIEM,OWASP,Criptografia,Firewall",5,100.0
Analista de Dados,12,Sênior,Realocar Carreira,Segurança da Informação,20,5,"Criptografia,Pentest,SIEM,OWASP,Firewall",7,100.0
Analista de Sistemas,19,Sênior,Realocar Carreira,Segurança da Informação,20,2,"Criptografia,OWASP",10,100.0
Gerente de Projetos,17,Sênior,Atualizar Carreira,DevOps,15,4,"Terraform,CI/CD,Kubernetes,AWS",7,100.0
Designer,15,Sênior,Realocar Carreira,Data Science,10,2,"Estatística,Pandas",6,100.0
Administrador de Redes,10,Sênior,Realocar Carreira,Inteligência Artificial,15,2,"Computer Vision,Python",7,100.0
Analista de Sistemas,15,Sênior,Realocar Carreira,Inteligência Artificial,5,4,"PyTorch,TensorFlow,Computer Vision,NLP",7,100.0
Administrador de Redes,3,Pleno,Realocar Carreira,Cloud Computing,10,4,"GCP,Azure,Serverless,Containers",8,100.0
Analista de Sistemas,12,Sênior,Atualizar Carreira,Data Science,20,4,"Python,Pandas,Estatística,Machine Learning",10,100.0
Designer,3,Pleno,Realocar Carreira,DevOps,15,4,"Git,Kubernetes,AWS,Docker",10,100.0
Administrador de Redes,15,Sênior,Realocar Carreira,DevOps,20,4,"AWS,Kubernetes,CI/CD,Git",5,100.0
Suporte Técnico,18,Sênior,Realocar Carreira,Segurança da Informação,10,5,"Criptografia,Firewall,SIEM,OWASP,Pentest",5,98.19
Designer,10,Sênior,Realocar Carreira,DevOps,20,2,"Terraform,Docker",9,100.0
Gerente de Projetos,13,Sênior,Atualizar Carreira,Data Science,20,5,"NumPy,SQL,R,Machine Learning,Python",7,100.0
Designer,20,Sênior,Realocar Carreira,Mobile,10,5,"Flutter,Swift,Kotlin,iOS,Android",5,100.0
QA Tester,3,Pleno,Atualizar Carreira,DevOps,5,4,"AWS,Docker,CI/CD,Kubernetes",5,100.0
Designer,7,Sênior,Atualizar Carreira,UX/UI Design,20,5,"Figma,Sketch,Adobe XD,Prototipagem,Design Thinking",9,100.0
Gerente de Projetos,2,Júnior,Realocar Carreira,Inteligência Artificial,20,4,"NLP,TensorFlow,PyTorch,Computer Vision",10,100.0
